,cell_type
392,TAM 3
393,NK
394,Mono 1
395,TAM 2
396,Mono 1
397,TAM 2
398,Tcells 3
399,TAM 5
400,Tcells 3
401,TAM 3
402,Tcells 2
403,Tcells 2
404,NK
405,NK
406,NK
407,Tcells 3
408,Proliferating TAM
409,Mono 2
410,TAM 3
411,Tcells 1
412,Tcells 3
413,Mono 1
414,Tcells 1
415,Tcells 1
416,TAM 4
417,Tcells 1
418,Proliferating T cells
419,Tcells 1
420,TAM 3
421,TAM 5
422,TAM 3
423,Tcells 1
424,Proliferating T cells
425,Tcells 1
426,Tcells 2
427,Proliferating TAM
428,Tcells 1
429,Tcells 3
430,Tcells 1
431,TAM 5
432,Tcells 1
433,Treg
434,Tcells 3
435,Tcells 1
436,Proliferating TAM
437,Mono 1
438,Mono 1
439,TAM 5
440,Mono 1
441,TAM 3
442,TAM 2
443,Mono 2
444,TAM 5
445,TAM 4
446,TAM 3
447,Proliferating TAM
448,TAM 3
449,Mono 2
450,Mono 1
451,TAM 2
452,TAM 2
453,Tcells 1
454,Tcells 3
455,Mono 1
456,NK
457,Tcells 2
458,TAM 3
459,Treg
460,Tcells 3
461,TAM 3
462,TAM 5
463,TAM 3
464,Tcells 1
465,Proliferating TAM
466,Proliferating T cells
467,Tcells 1
468,TAM 3
469,Mono 1
470,TAM 5
471,Tcells 1
472,TAM 3
473,Tcells 3
474,TAM 2
475,Tcells 2
476,TAM 3
477,TAM 2
478,NK
479,TAM 3
480,Proliferating TAM
481,TAM 2
482,Tcells 1
483,TAM 5
484,Mono 1
485,NK
486,Tcells 1
487,TAM 5
488,TAM 2
489,Tcells 1
490,Proliferating T cells
491,TAM 3
492,Mono 1
493,TAM 5
494,Mono 2
495,TAM 5
496,Proliferating TAM
497,Mono 1
498,TAM 5
499,cDC2
500,Mono 2
501,Tcells 1
502,Tcells 1
503,TAM 2
504,Mono 1
505,TAM 2
506,TAM 3
507,Tcells 2
508,TAM 3
509,Mono 2
510,pDC
511,Proliferating TAM
512,TAM 2
513,TAM 5
514,TAM 3
515,TAM 5
516,TAM 4
517,Tcells 1
518,TAM 4
519,cDC2
520,Tcells 2
521,Mono 2
522,Tcells 1
523,Tcells 1
524,Proliferating TAM
525,TAM 5
526,Tcells 3
527,Tcells 2
528,Tcells 3
529,Mono 2
530,B
531,Mono 1
532,Tcells 2
533,TAM 3
534,B
535,TAM 3
536,Tcells 1
537,TAM 3
538,TAM 2
539,cDC2
540,NK
541,Tcells 1
542,TAM 3
543,Tcells 1
544,Tcells 1
545,Tcells 2
546,TAM 5
547,Tcells 1
548,Tcells 2
549,TAM 1
550,Mono 1
551,Tcells 1
552,TAM 3
553,Tcells 1
554,Tcells 3
555,NK
556,Tcells 1
557,Tcells 1
558,Tcells 2
559,Tcells 2
560,TAM 5
561,TAM 2
562,Tcells 1
563,Tcells 1
564,Mono 1
565,Tcells 1
566,Tcells 1
567,Tcells 2
568,TAM 5
569,NK
570,TAM 2
571,TAM 5
572,TAM 3
573,Tcells 1
574,Mono 1
575,Tcells 1
576,TAM 5
577,TAM 3
578,Tcells 1
579,TAM 5
580,Tcells 2
581,Tcells 1
582,TAM 5
583,Tcells 1
584,Mono 1
585,TAM 5
586,TAM 2
587,TAM 2
588,Mono 1
589,Tcells 2
590,TAM 4
591,TAM 1
592,Tcells 3
593,Tcells 3
594,TAM 3
595,Tcells 1
596,Proliferating TAM
597,Tcells 1
598,TAM 1
599,Proliferating T cells
600,TAM 5
601,NK
602,NK
603,Proliferating TAM
604,TAM 5
605,Tcells 1
606,Tcells 3
607,TAM 5
608,Mono 1
609,TAM 5
610,Tcells 1
611,TAM 2
612,Tcells 1
613,Tcells 2
614,Tcells 1
615,Tcells 2
616,TAM 2
617,Mono 1
618,Tcells 1
619,Tcells 2
620,TAM 5
621,TAM 4
622,Tcells 1
623,TAM 2
624,TAM 4
625,NK
626,NK
627,TAM 5
628,TAM 5
629,Mono 1
630,TAM 5
631,B
632,Tcells 3
633,NK
634,Mono 1
635,TAM 3
636,TAM 5
637,TAM 3
638,Tcells 3
639,TAM 5
640,TAM 2
641,Tcells 2
642,TAM 3
643,TAM 5
644,Tcells 2
645,TAM 5
646,TAM 1
647,NK
648,Tcells 3
649,Tcells 1
650,TAM 4
651,pDC
652,Mono 1
653,TAM 3
654,Tcells 3
655,Tcells 3
656,Tcells 1
657,Proliferating TAM
658,Tcells 2
659,Tcells 2
660,TAM 3
661,Tcells 2
662,Tcells 1
663,Mono 1
664,Tcells 2
665,Tcells 2
666,TAM 2
667,Tcells 1
668,Tcells 1
669,Mono 2
670,B
671,Tcells 3
672,Tcells 1
673,Proliferating TAM
674,TAM 5
675,Tcells 1
676,Tcells 2
677,NK
678,TAM 5
679,Tcells 1
680,Tcells 3
681,Tcells 3
682,Tcells 1
683,TAM 5
684,TAM 5
685,Tcells 2
686,Proliferating TAM
687,NK
688,TAM 2
689,Tcells 2
690,TAM 5
691,TAM 5
692,Tcells 1
693,NK
694,Tcells 2
695,Mono 1
696,Tcells 1
697,Tcells 1
698,Tcells 2
699,TAM 5
700,TAM 5
701,Proliferating T cells
702,TAM 2
703,Tcells 1
704,TAM 5
705,TAM 5
706,NK
707,Treg
708,TAM 3
709,Proliferating TAM
710,TAM 5
711,TAM 5
712,Tcells 1
713,TAM 5
714,Tcells 1
715,TAM 3
716,Mono 1
717,TAM 5
718,Tcells 1
719,Tcells 3
720,Mono 1
721,Proliferating TAM
722,Tcells 2
723,TAM 2
724,Mono 1
725,TAM 5
726,Proliferating TAM
727,TAM 5
728,Mono 2
729,TAM 2
730,Mono 1
731,Tcells 1
732,Tcells 1
733,TAM 5
734,Mono 1
735,Tcells 3
736,Mono 1
737,Proliferating TAM
738,TAM 5
739,TAM 5
740,TAM 3
741,Tcells 3
742,Tcells 3
743,TAM 5
744,TAM 5
745,Mono 1
746,TAM 5
747,B
748,TAM 5
749,TAM 1
750,TAM 1
751,TAM 5
752,Tcells 3
753,TAM 5
754,Tcells 3
755,Proliferating T cells
756,Tcells 3
757,Tcells 1
758,Tcells 1
759,TAM 2
760,TAM 5
761,NK
762,TAM 4
763,Mono 1
764,TAM 3
765,Tcells 2
766,TAM 5
767,B
768,pDC
769,Proliferating TAM
770,TAM 5
771,Proliferating TAM
772,TAM 4
773,Tcells 1
774,TAM 3
775,Proliferating TAM
776,TAM 3
777,Tcells 3
778,TAM 2
779,Proliferating TAM
780,Mono 2
781,TAM 5
782,TAM 4
783,TAM 3
784,TAM 2
785,Proliferating TAM
786,Mono 2
787,Treg
788,Tcells 1
789,Tcells 1
790,Mono 1
791,TAM 5
792,TAM 3
793,TAM 4
794,NK
795,Tcells 2
796,Proliferating T cells
797,Mono 1
798,TAM 5
799,Proliferating TAM
800,NK
801,Tcells 3
802,Tcells 2
803,Proliferating TAM
804,Proliferating TAM
805,TAM 3
806,TAM 5
807,TAM 3
