,cell_type
3859,TAM 1
3860,Proliferating TAM
3861,Proliferating TAM
3862,TAM 3
3863,TAM 4
3864,TAM 2
3865,B
3866,Tcells 1
3867,Mono 2
3868,Mono 2
3869,Proliferating TAM
3870,TAM 5
3871,B
3872,B
3873,Mono 1
3874,Tcells 1
3875,Proliferating TAM
3876,Tcells 1
3877,Tcells 1
3878,Tcells 3
3879,TAM 4
3880,NK
3881,cDC2
3882,TAM 3
3883,Proliferating TAM
3884,Tcells 3
3885,Mono 1
3886,Tcells 3
3887,TAM 5
3888,TAM 5
3889,Tcells 3
3890,Tcells 1
3891,TAM 3
3892,TAM 5
3893,TAM 5
3894,TAM 4
3895,TAM 3
3896,TAM 3
3897,TAM 3
3898,TAM 3
3899,Proliferating TAM
3900,TAM 3
3901,Tcells 3
3902,Tcells 3
3903,Tcells 1
3904,TAM 3
3905,Tcells 1
3906,TAM 5
3907,Tcells 1
3908,NK
3909,Proliferating TAM
3910,TAM 4
3911,TAM 2
3912,Proliferating T cells
3913,TAM 3
3914,Proliferating TAM
3915,Mono 2
3916,TAM 3
3917,TAM 3
3918,TAM 5
3919,Mono 2
3920,Proliferating TAM
3921,cDC2
3922,TAM 4
3923,Tcells 2
3924,NK
3925,TAM 4
3926,Treg
3927,Tcells 3
3928,NK
3929,TAM 5
3930,Mono 1
3931,B
3932,Tcells 1
3933,Mono 1
3934,Tcells 3
3935,NK
3936,Proliferating TAM
3937,Tcells 1
3938,TAM 2
3939,Mono 1
3940,Mono 1
3941,NK
3942,Mono 2
3943,Mono 1
3944,TAM 5
3945,TAM 5
3946,Tcells 1
3947,TAM 2
3948,Tcells 1
3949,TAM 2
3950,TAM 2
3951,Mono 2
3952,TAM 4
3953,Tcells 1
3954,Mono 2
3955,TAM 5
3956,Mono 1
3957,TAM 2
3958,Tcells 3
3959,NK
3960,Mast
3961,Tcells 1
3962,Tcells 1
3963,TAM 4
3964,TAM 3
3965,TAM 3
3966,Tcells 3
3967,Mono 1
3968,Tcells 3
3969,Tcells 2
3970,Treg
3971,TAM 1
3972,Mono 2
3973,Tcells 3
3974,Mono 1
3975,TAM 5
3976,B
3977,Tcells 1
3978,Mono 1
3979,TAM 3
3980,TAM 3
3981,NK
3982,Tcells 3
3983,cDC2
3984,TAM 3
3985,cDC1
3986,TAM 5
3987,Tcells 3
3988,TAM 1
3989,TAM 3
3990,cDC2
3991,Mono 1
3992,cDC1
3993,TAM 3
3994,TAM 2
3995,TAM 3
3996,cDC2
3997,NK
3998,Mono 2
3999,Proliferating TAM
4000,Treg
4001,cDC2
4002,NK
4003,Proliferating T cells
4004,cDC2
4005,TAM 4
4006,TAM 4
4007,cDC2
4008,Mono 2
4009,TAM 2
4010,TAM 3
4011,TAM 1
4012,Tcells 1
4013,Tcells 1
4014,Mono 2
4015,Mono 2
4016,TAM 1
4017,NK
4018,TAM 5
4019,TAM 4
4020,TAM 3
4021,cDC2
4022,NK
4023,TAM 3
4024,TAM 4
4025,NK
4026,TAM 4
4027,TAM 3
4028,Mast
4029,Mono 2
4030,Mono 1
4031,cDC1
4032,TAM 2
4033,Tcells 3
4034,TAM 4
4035,Mono 1
4036,TAM 4
4037,TAM 2
4038,Proliferating TAM
4039,Tcells 3
4040,Tcells 1
4041,Tcells 2
4042,Proliferating TAM
4043,TAM 1
4044,Treg
4045,Mono 2
4046,Treg
4047,TAM 2
4048,Tcells 1
4049,NK
4050,TAM 4
4051,Mono 2
4052,cDC1
4053,Tcells 3
4054,Proliferating TAM
4055,cDC2
4056,Mono 2
4057,Tcells 2
4058,NK
4059,Mono 1
4060,TAM 3
4061,TAM 4
4062,cDC2
4063,NK
4064,TAM 4
4065,pDC
4066,Mono 1
4067,Mono 1
4068,TAM 3
4069,Mono 1
4070,Tcells 1
4071,pDC
4072,TAM 4
4073,Tcells 1
4074,Tcells 3
4075,Tcells 1
4076,Mono 1
4077,TAM 4
4078,Mono 1
4079,TAM 5
4080,NK
4081,TAM 3
4082,Mono 2
4083,Mono 2
4084,TAM 4
4085,TAM 5
4086,TAM 2
4087,Mono 1
4088,TAM 3
4089,TAM 2
4090,TAM 5
4091,Mono 1
4092,TAM 5
4093,Mono 2
4094,TAM 4
4095,Tcells 3
4096,Mono 1
4097,TAM 5
4098,TAM 4
4099,Tcells 1
4100,TAM 5
4101,Mono 2
4102,TAM 2
4103,Mono 1
4104,Mono 2
4105,TAM 3
4106,Tcells 3
4107,TAM 2
4108,TAM 3
4109,TAM 5
4110,TAM 4
4111,TAM 2
4112,TAM 5
4113,Tcells 3
4114,TAM 2
4115,TAM 4
4116,TAM 1
4117,TAM 2
4118,Mono 2
4119,NK
4120,Mono 2
4121,NK
4122,Mono 1
4123,TAM 5
4124,Tcells 3
4125,TAM 5
4126,Mono 2
4127,Tcells 1
4128,TAM 2
4129,TAM 3
4130,Tcells 3
4131,Mono 2
4132,TAM 4
4133,Tcells 2
4134,TAM 3
4135,Mono 1
4136,Mono 2
4137,Mono 1
4138,Mono 2
4139,Mono 2
4140,TAM 4
4141,Mono 1
4142,Tcells 1
4143,TAM 4
4144,Mono 2
4145,NK
4146,NK
4147,TAM 2
4148,TAM 4
4149,Mono 2
4150,Mono 2
4151,TAM 3
4152,Treg
4153,Tcells 2
4154,Mono 1
4155,Mono 2
4156,Treg
4157,TAM 5
4158,Mono 1
4159,NK
4160,Tcells 1
4161,Treg
4162,Tcells 3
4163,NK
4164,TAM 3
4165,TAM 4
4166,pDC
4167,TAM 3
4168,TAM 3
4169,TAM 5
4170,Proliferating T cells
4171,Tcells 2
4172,Mono 1
4173,Tcells 3
4174,Mono 1
4175,TAM 4
4176,Tcells 1
4177,TAM 3
4178,Mono 2
4179,Mono 1
4180,Tcells 2
4181,cDC1
4182,TAM 2
4183,Tcells 2
4184,Proliferating TAM
4185,Tcells 2
4186,TAM 2
4187,TAM 5
4188,TAM 4
4189,TAM 5
4190,Mono 2
4191,cDC2
4192,Tcells 1
4193,Mono 2
4194,TAM 3
4195,Mono 1
4196,Mono 2
4197,TAM 2
4198,cDC1
4199,TAM 4
4200,TAM 5
4201,TAM 2
4202,TAM 4
4203,Tcells 2
4204,Mono 1
4205,Tcells 2
4206,TAM 4
4207,Mono 2
4208,Tcells 1
4209,Tcells 3
4210,Mono 1
4211,TAM 5
4212,Mono 1
4213,TAM 3
4214,Proliferating T cells
4215,Mono 2
4216,Mono 1
4217,TAM 1
4218,Mono 2
4219,Tcells 2
4220,Proliferating TAM
4221,Mono 2
4222,cDC2
4223,Mono 1
4224,Mono 2
4225,TAM 2
4226,TAM 4
4227,TAM 1
4228,TAM 5
4229,TAM 4
4230,Mono 1
4231,TAM 2
4232,NK
4233,TAM 4
4234,TAM 4
4235,Tcells 2
4236,TAM 2
4237,TAM 3
4238,NK
4239,TAM 5
4240,Mono 2
4241,Mono 2
4242,TAM 3
4243,TAM 4
4244,TAM 1
4245,TAM 4
4246,TAM 2
4247,TAM 2
4248,TAM 4
4249,Mono 2
4250,TAM 4
4251,Mono 1
4252,TAM 3
4253,TAM 3
4254,TAM 5
4255,Mono 2
4256,TAM 5
4257,Mono 1
4258,TAM 2
4259,Treg
4260,B
4261,Tcells 1
4262,TAM 4
4263,TAM 4
4264,cDC1
4265,TAM 3
4266,Mono 2
4267,Tcells 2
4268,NK
4269,TAM 2
4270,Treg
4271,TAM 5
4272,TAM 4
4273,TAM 1
4274,Mono 1
4275,TAM 5
4276,TAM 3
4277,TAM 5
4278,TAM 5
4279,NK
4280,Tcells 2
4281,NK
4282,pDC
4283,Mono 2
4284,TAM 4
4285,TAM 3
4286,Tcells 3
4287,Mono 2
4288,Tcells 3
4289,TAM 3
4290,Mono 1
4291,Mono 1
4292,Treg
4293,TAM 4
4294,NK
4295,Proliferating T cells
4296,TAM 1
4297,Mono 2
4298,TAM 5
4299,NK
4300,pDC
4301,Mono 2
4302,cDC2
4303,TAM 2
4304,TAM 4
4305,TAM 5
4306,Mono 1
4307,TAM 5
4308,TAM 5
4309,Tcells 1
4310,TAM 1
4311,Mono 2
4312,TAM 3
4313,Mono 2
4314,Mast
4315,Tcells 2
4316,TAM 3
4317,Tcells 1
4318,Mono 1
4319,cDC1
4320,Tcells 3
4321,TAM 2
4322,TAM 3
4323,TAM 2
4324,Mono 2
4325,Mono 1
4326,Mono 1
4327,TAM 4
4328,TAM 4
4329,TAM 5
4330,TAM 2
4331,Tcells 2
4332,TAM 5
4333,Tcells 2
4334,TAM 5
4335,TAM 3
4336,NK
4337,cDC1
4338,Tcells 1
4339,TAM 2
4340,pDC
4341,TAM 3
4342,Mono 1
4343,TAM 5
4344,Mono 1
4345,TAM 2
4346,TAM 3
4347,Tcells 2
4348,NK
4349,TAM 4
4350,Tcells 3
4351,TAM 3
4352,TAM 2
4353,pDC
4354,TAM 3
4355,Mono 2
4356,Tcells 2
4357,TAM 3
4358,TAM 5
4359,TAM 4
4360,Mono 2
4361,pDC
4362,Tcells 2
4363,Mono 1
4364,cDC2
4365,TAM 3
4366,Tcells 2
4367,Mono 2
4368,TAM 1
4369,TAM 3
4370,TAM 2
4371,Mono 2
4372,TAM 3
4373,TAM 2
4374,TAM 2
4375,Proliferating TAM
4376,TAM 4
4377,cDC1
4378,Mono 2
4379,Mono 1
4380,TAM 2
4381,TAM 2
4382,Tcells 1
4383,Tcells 3
4384,TAM 3
4385,Tcells 2
4386,TAM 3
4387,TAM 3
4388,Mono 2
4389,TAM 4
4390,Treg
4391,TAM 5
4392,cDC2
4393,TAM 3
4394,TAM 5
4395,NK
4396,TAM 3
4397,Mono 2
4398,TAM 5
4399,Proliferating TAM
4400,Mono 2
4401,Mono 1
4402,TAM 3
4403,Mono 1
4404,TAM 2
4405,Mono 2
4406,TAM 4
4407,TAM 5
4408,TAM 3
4409,pDC
4410,TAM 4
4411,TAM 4
4412,Mono 2
4413,Mono 2
4414,TAM 4
4415,Proliferating TAM
4416,TAM 3
4417,Proliferating T cells
4418,TAM 4
4419,Proliferating TAM
4420,pDC
4421,TAM 4
4422,TAM 3
4423,Mono 2
4424,TAM 4
4425,TAM 2
4426,Tcells 1
4427,Proliferating T cells
4428,TAM 3
4429,TAM 5
4430,Mono 2
4431,TAM 4
4432,TAM 2
4433,TAM 5
4434,Proliferating TAM
4435,Tcells 1
4436,TAM 3
4437,Proliferating T cells
4438,TAM 5
4439,Mono 2
4440,TAM 4
4441,TAM 4
4442,TAM 4
4443,TAM 2
4444,TAM 3
4445,Mono 2
4446,Tcells 1
4447,TAM 2
4448,TAM 4
4449,TAM 4
4450,TAM 3
4451,Tcells 1
4452,Proliferating TAM
4453,TAM 3
4454,Tcells 2
4455,NK
4456,cDC1
4457,TAM 4
4458,Treg
4459,TAM 4
4460,TAM 2
4461,TAM 2
4462,TAM 3
4463,Mono 2
4464,TAM 3
4465,TAM 2
4466,Proliferating TAM
4467,Mono 1
4468,cDC2
4469,Tcells 2
4470,Tcells 1
4471,Mono 2
4472,TAM 4
4473,TAM 5
4474,Mono 2
4475,Mono 2
4476,Mast
4477,Tcells 1
4478,Mono 1
4479,Tcells 2
4480,Mono 1
4481,Mono 1
4482,Tcells 3
4483,Tcells 1
4484,Tcells 2
4485,TAM 2
4486,Mono 2
4487,B
4488,TAM 3
4489,NK
4490,Tcells 2
4491,cDC2
4492,Proliferating TAM
4493,Mono 2
4494,cDC1
4495,TAM 4
4496,TAM 2
4497,TAM 5
4498,Tcells 2
4499,TAM 2
4500,Mono 1
4501,Tcells 2
4502,Mono 2
4503,TAM 2
4504,Mono 2
4505,TAM 3
4506,Tcells 2
4507,cDC2
4508,Mono 1
4509,NK
4510,TAM 4
4511,Tcells 1
4512,Tcells 1
4513,B
4514,TAM 5
4515,TAM 5
4516,TAM 2
4517,Mono 1
4518,Mono 1
4519,Tcells 2
4520,TAM 5
4521,TAM 5
4522,TAM 2
4523,TAM 1
4524,NK
4525,TAM 1
4526,Treg
4527,Tcells 1
4528,Mono 2
4529,Treg
4530,Proliferating T cells
4531,TAM 5
4532,TAM 3
4533,Tcells 2
4534,Proliferating TAM
4535,Mono 2
4536,Mono 1
4537,TAM 4
4538,TAM 4
4539,Tcells 3
4540,Mono 2
4541,Mono 1
4542,TAM 3
4543,TAM 3
4544,NK
4545,TAM 2
4546,cDC2
4547,TAM 4
4548,pDC
4549,TAM 2
4550,TAM 2
4551,pDC
4552,TAM 3
4553,Mono 1
4554,Tcells 1
4555,TAM 5
4556,TAM 4
4557,TAM 3
4558,Treg
4559,Mono 1
4560,TAM 3
4561,TAM 4
4562,Mono 2
4563,Mast
4564,pDC
4565,TAM 4
4566,Tcells 3
4567,NK
4568,TAM 2
4569,TAM 3
4570,Tcells 3
4571,Mono 1
4572,TAM 3
4573,Tcells 3
4574,Mono 2
4575,NK
4576,TAM 4
4577,Tcells 3
4578,Mono 1
4579,cDC1
4580,cDC2
4581,B
4582,TAM 2
4583,TAM 3
4584,TAM 4
4585,TAM 3
4586,Tcells 1
4587,NK
4588,Mono 2
4589,Mono 2
4590,Proliferating TAM
4591,Proliferating T cells
4592,Mono 2
4593,NK
4594,Mono 2
4595,Mono 2
4596,TAM 3
4597,Mono 1
4598,Mono 1
4599,TAM 3
4600,Mono 2
4601,TAM 4
4602,TAM 3
4603,Tcells 1
4604,TAM 5
4605,cDC2
4606,Treg
4607,TAM 5
4608,TAM 3
4609,TAM 3
4610,Tcells 2
4611,TAM 4
4612,NK
4613,cDC2
4614,TAM 1
4615,TAM 5
4616,TAM 2
4617,Proliferating T cells
4618,Tcells 1
4619,NK
4620,TAM 2
4621,Tcells 3
4622,TAM 2
4623,NK
4624,pDC
4625,TAM 2
4626,Proliferating T cells
4627,TAM 4
4628,TAM 5
4629,Mono 1
4630,Mono 1
4631,Mono 1
4632,Mast
4633,TAM 2
4634,Treg
4635,Tcells 1
4636,Tcells 2
4637,Tcells 2
4638,TAM 2
4639,Treg
4640,TAM 5
4641,Tcells 1
4642,TAM 3
4643,TAM 2
4644,TAM 5
4645,TAM 3
4646,pDC
4647,Mono 2
4648,Mono 2
4649,TAM 5
4650,TAM 2
4651,TAM 2
4652,TAM 4
4653,TAM 4
4654,TAM 5
4655,TAM 4
4656,TAM 3
4657,TAM 4
4658,Mono 1
4659,Mono 2
4660,Mono 1
4661,TAM 3
4662,TAM 2
4663,TAM 5
4664,Tcells 2
4665,Proliferating T cells
4666,TAM 2
4667,Tcells 2
4668,cDC2
4669,NK
4670,Tcells 3
4671,TAM 2
4672,TAM 4
4673,TAM 2
4674,TAM 2
4675,TAM 3
4676,TAM 2
4677,Tcells 2
4678,TAM 4
4679,NK
4680,TAM 2
4681,Mono 1
4682,Tcells 2
4683,TAM 2
4684,Treg
4685,TAM 5
4686,NK
4687,TAM 3
4688,TAM 2
4689,TAM 4
4690,cDC2
4691,TAM 5
4692,B
4693,B
4694,cDC2
4695,TAM 3
4696,Mono 2
4697,Tcells 1
4698,NK
4699,cDC2
4700,Mono 2
4701,Proliferating T cells
4702,Tcells 1
4703,Treg
4704,Mono 2
4705,TAM 3
4706,TAM 3
4707,Mono 1
4708,Proliferating TAM
4709,TAM 4
4710,TAM 4
4711,pDC
4712,Treg
4713,TAM 5
4714,Mono 2
4715,cDC2
4716,TAM 1
4717,Mono 2
4718,Mono 2
4719,TAM 3
4720,Tcells 2
4721,Tcells 1
4722,TAM 2
4723,TAM 5
4724,cDC1
4725,pDC
4726,Treg
4727,TAM 3
4728,Mono 2
4729,Proliferating TAM
4730,TAM 2
4731,cDC2
4732,TAM 3
4733,TAM 2
4734,NK
4735,Mono 1
4736,TAM 2
4737,Mono 2
4738,Proliferating T cells
4739,Tcells 1
4740,Mono 2
4741,TAM 3
4742,Tcells 1
4743,Mono 1
4744,Mono 1
4745,Mast
4746,Mono 2
4747,Mono 1
4748,Tcells 1
4749,TAM 2
4750,Mono 2
4751,Tcells 1
4752,TAM 5
4753,Treg
4754,Tcells 1
4755,Treg
4756,Mono 1
4757,Mono 1
4758,cDC2
4759,TAM 5
4760,Treg
4761,TAM 1
4762,cDC1
4763,Tcells 1
4764,TAM 4
4765,TAM 2
4766,TAM 5
4767,pDC
4768,TAM 2
4769,TAM 3
4770,TAM 5
4771,Mono 2
4772,Mono 2
4773,TAM 4
4774,TAM 5
4775,NK
4776,pDC
4777,TAM 5
4778,TAM 3
4779,Tcells 2
4780,NK
4781,TAM 5
4782,Mono 1
4783,Tcells 1
4784,Mono 1
4785,TAM 5
4786,TAM 2
4787,Tcells 1
4788,TAM 4
4789,NK
4790,Tcells 1
4791,Mast
4792,TAM 2
4793,TAM 2
4794,Proliferating T cells
4795,TAM 5
4796,TAM 3
4797,TAM 4
4798,pDC
4799,Tcells 2
4800,Tcells 1
4801,TAM 4
4802,Mono 1
4803,Mono 1
4804,TAM 4
4805,TAM 5
4806,Mono 2
4807,TAM 4
4808,TAM 3
4809,TAM 2
4810,NK
4811,TAM 4
4812,TAM 5
4813,cDC2
4814,Proliferating TAM
4815,TAM 3
4816,TAM 2
4817,pDC
4818,TAM 4
4819,Treg
4820,Mast
4821,TAM 4
4822,Mono 1
4823,TAM 3
4824,cDC2
4825,TAM 5
4826,TAM 2
4827,TAM 2
4828,TAM 4
4829,TAM 5
4830,TAM 2
4831,Proliferating T cells
4832,cDC2
4833,NK
4834,TAM 4
4835,Tcells 2
4836,Mono 2
4837,cDC2
4838,Mast
4839,TAM 2
4840,Mono 1
4841,TAM 2
4842,Tcells 1
4843,TAM 2
4844,TAM 2
4845,TAM 2
4846,Tcells 1
4847,Mono 2
4848,Tcells 2
4849,TAM 4
4850,Treg
4851,TAM 4
4852,Tcells 2
4853,Tcells 2
4854,cDC2
4855,B
4856,Treg
4857,TAM 3
4858,TAM 5
4859,Tcells 1
4860,Mono 2
4861,Tcells 3
4862,Tcells 1
4863,Tcells 1
4864,Proliferating T cells
4865,cDC2
4866,TAM 2
4867,NK
4868,TAM 3
4869,TAM 4
4870,TAM 2
4871,TAM 4
4872,TAM 2
4873,Mono 2
4874,Mono 2
4875,cDC2
4876,Tcells 2
4877,TAM 4
4878,Tcells 2
4879,TAM 5
4880,Mono 1
4881,NK
4882,Mono 2
4883,TAM 3
4884,Treg
4885,cDC2
4886,Mono 1
4887,TAM 5
4888,Treg
4889,Tcells 3
4890,NK
4891,TAM 4
4892,NK
4893,Proliferating TAM
4894,TAM 4
4895,Mono 1
4896,Tcells 2
4897,TAM 4
4898,Mono 2
4899,TAM 4
4900,TAM 3
4901,Mono 1
4902,Tcells 3
4903,Tcells 2
4904,cDC2
4905,TAM 2
4906,TAM 1
4907,TAM 3
4908,Mono 2
4909,TAM 4
4910,TAM 3
4911,Mono 1
4912,Tcells 1
4913,TAM 4
4914,NK
4915,Mono 2
4916,NK
4917,Mono 2
4918,TAM 3
4919,TAM 5
4920,Mono 1
4921,cDC2
4922,TAM 3
4923,Tcells 3
4924,Treg
4925,Tcells 2
4926,Tcells 1
4927,Tcells 1
4928,TAM 4
4929,TAM 3
4930,cDC2
4931,Tcells 1
4932,NK
4933,Mast
4934,TAM 5
4935,TAM 2
4936,Mono 2
4937,TAM 2
4938,TAM 3
4939,Treg
4940,cDC2
4941,Tcells 1
4942,Tcells 2
4943,TAM 4
4944,pDC
4945,TAM 4
4946,TAM 4
4947,TAM 5
4948,Tcells 2
4949,Tcells 2
4950,TAM 2
4951,cDC2
4952,Tcells 1
4953,Tcells 2
4954,Tcells 1
4955,Mono 1
4956,Mono 2
4957,TAM 3
4958,TAM 4
4959,TAM 3
4960,Tcells 1
4961,TAM 3
4962,TAM 4
4963,Mono 2
4964,TAM 4
4965,TAM 1
4966,TAM 1
4967,TAM 5
4968,cDC2
4969,Tcells 1
4970,Tcells 1
4971,Mono 1
4972,Tcells 3
4973,TAM 5
4974,Mono 2
4975,TAM 3
4976,TAM 2
4977,Tcells 3
4978,Mono 1
4979,TAM 5
4980,TAM 4
4981,TAM 3
4982,TAM 2
4983,Tcells 3
4984,TAM 1
4985,cDC2
4986,TAM 2
4987,Mono 1
4988,TAM 2
4989,Tcells 2
4990,Mono 2
4991,Tcells 2
4992,Tcells 1
4993,TAM 3
4994,TAM 3
4995,Mono 2
4996,TAM 4
4997,TAM 4
4998,TAM 1
4999,Mono 2
5000,TAM 5
5001,Mono 1
5002,Tcells 3
5003,Mono 1
5004,Treg
5005,Treg
5006,TAM 3
5007,pDC
5008,TAM 5
5009,Mono 1
5010,Tcells 1
5011,TAM 4
5012,TAM 5
5013,TAM 5
5014,Mono 1
5015,TAM 2
5016,Mono 2
5017,TAM 2
5018,TAM 5
5019,Mono 2
5020,Mono 1
5021,Tcells 1
5022,NK
5023,TAM 4
5024,TAM 3
5025,Mono 2
5026,cDC2
5027,cDC2
5028,TAM 2
5029,TAM 1
5030,cDC2
5031,Mono 1
5032,TAM 4
5033,Mono 1
5034,Mono 1
5035,TAM 5
5036,Mono 2
5037,TAM 2
5038,TAM 1
5039,Mono 2
5040,Mono 2
5041,Mono 2
5042,Mono 2
5043,Mono 1
5044,NK
5045,Tcells 3
5046,TAM 2
5047,Mono 2
5048,Proliferating TAM
5049,Tcells 1
5050,TAM 4
5051,TAM 3
5052,Mono 2
5053,NK
5054,TAM 3
5055,Tcells 1
5056,cDC2
5057,Mono 2
5058,Tcells 2
5059,TAM 4
5060,TAM 3
5061,Mono 1
5062,Proliferating TAM
5063,Mono 2
5064,TAM 4
5065,TAM 3
5066,Tcells 2
5067,Tcells 1
5068,Mono 1
5069,TAM 4
5070,cDC2
5071,TAM 3
5072,TAM 2
5073,Tcells 3
5074,cDC2
5075,Mono 2
5076,Mono 2
5077,Tcells 2
5078,cDC2
5079,Mono 2
5080,Mono 1
5081,cDC2
5082,TAM 3
5083,TAM 5
5084,cDC1
5085,TAM 3
5086,Mono 2
5087,Tcells 2
5088,Tcells 3
5089,TAM 5
5090,Mono 2
5091,Tcells 3
5092,NK
5093,NK
5094,Mono 2
5095,TAM 5
5096,Proliferating TAM
5097,TAM 3
5098,NK
5099,TAM 1
5100,Mast
5101,Mono 1
5102,Mast
5103,Tcells 2
5104,TAM 4
5105,TAM 4
5106,TAM 1
5107,TAM 4
5108,TAM 5
5109,Mono 1
5110,cDC2
5111,Mono 1
5112,TAM 3
5113,TAM 2
5114,Mono 2
5115,Mono 1
5116,Mono 2
5117,TAM 4
5118,TAM 4
5119,cDC1
5120,TAM 4
5121,cDC2
5122,Treg
5123,TAM 2
5124,cDC2
5125,Tcells 1
5126,NK
5127,TAM 2
5128,Tcells 2
5129,Mono 2
5130,TAM 3
5131,Mono 1
5132,cDC2
5133,TAM 3
5134,Tcells 2
5135,TAM 4
5136,Mono 2
5137,Mono 1
5138,TAM 3
5139,TAM 2
5140,Mono 2
5141,Mono 2
5142,TAM 2
5143,TAM 3
5144,TAM 4
5145,Mono 2
5146,NK
5147,NK
5148,Mono 1
5149,Mono 2
5150,TAM 4
5151,TAM 3
5152,cDC2
5153,cDC2
5154,TAM 5
5155,pDC
5156,Tcells 2
5157,cDC2
5158,Mono 2
5159,TAM 3
5160,TAM 4
5161,TAM 5
5162,TAM 3
5163,TAM 4
5164,NK
5165,Tcells 1
5166,cDC2
5167,TAM 3
5168,TAM 4
5169,Mono 1
5170,pDC
5171,TAM 2
5172,Mono 1
5173,Tcells 1
5174,cDC2
5175,TAM 3
5176,Tcells 1
5177,Tcells 3
5178,TAM 2
5179,Mono 1
5180,B
5181,cDC2
5182,NK
5183,NK
5184,Mono 2
5185,Proliferating TAM
5186,TAM 3
5187,TAM 4
5188,Mono 2
5189,Tcells 2
5190,Mono 1
5191,TAM 2
5192,Mono 1
5193,TAM 5
5194,TAM 2
5195,TAM 5
5196,Mono 1
5197,TAM 5
5198,Mono 2
5199,TAM 2
5200,TAM 5
5201,TAM 2
5202,TAM 3
5203,TAM 3
5204,Tcells 1
5205,Tcells 2
5206,Mono 1
5207,pDC
5208,cDC2
5209,Tcells 1
5210,Treg
5211,pDC
5212,Tcells 3
5213,TAM 2
5214,Mono 1
5215,pDC
5216,Mono 2
5217,TAM 1
5218,TAM 2
5219,TAM 2
5220,Mono 2
5221,NK
5222,TAM 2
5223,TAM 4
5224,Treg
5225,TAM 4
5226,TAM 4
5227,TAM 4
5228,Mono 1
5229,Mast
5230,TAM 3
5231,TAM 3
5232,Proliferating T cells
5233,TAM 3
5234,Mono 2
5235,TAM 2
5236,Tcells 3
5237,Mono 2
5238,Tcells 1
5239,Tcells 3
5240,TAM 2
5241,TAM 4
5242,TAM 4
5243,TAM 2
5244,TAM 2
5245,Tcells 2
5246,NK
5247,Mono 2
5248,cDC1
5249,TAM 3
5250,Mono 2
5251,pDC
5252,Tcells 2
5253,NK
5254,TAM 4
5255,Tcells 1
5256,cDC2
5257,TAM 5
5258,TAM 2
5259,cDC2
5260,NK
5261,Mono 2
5262,Tcells 3
5263,Mono 1
5264,Mono 1
5265,Mono 2
5266,Mono 2
5267,TAM 3
5268,Mono 1
5269,TAM 2
5270,TAM 4
5271,TAM 4
5272,cDC2
5273,Mono 2
5274,TAM 4
5275,TAM 5
5276,TAM 5
5277,TAM 4
5278,Tcells 1
5279,Mono 2
5280,TAM 2
5281,Tcells 2
5282,TAM 4
5283,Mono 2
5284,Mono 1
5285,TAM 2
5286,TAM 4
5287,TAM 5
5288,NK
5289,Mono 1
5290,Mono 2
5291,TAM 2
5292,Mono 2
5293,TAM 4
5294,cDC2
5295,TAM 2
5296,Tcells 2
5297,Mono 2
5298,Proliferating TAM
5299,Mono 2
5300,Mono 1
5301,Mono 1
5302,Mono 1
5303,TAM 2
5304,pDC
5305,Mono 2
5306,NK
5307,TAM 4
5308,TAM 3
5309,TAM 3
5310,Mono 2
5311,Mono 1
5312,TAM 5
5313,TAM 3
5314,TAM 4
5315,Tcells 1
5316,TAM 1
5317,Proliferating T cells
5318,Proliferating T cells
5319,Mono 2
5320,Proliferating TAM
5321,TAM 2
5322,TAM 2
5323,TAM 2
5324,TAM 4
5325,TAM 1
5326,TAM 3
5327,TAM 3
5328,TAM 4
5329,NK
5330,TAM 4
5331,Mono 2
5332,Mono 2
5333,Tcells 2
5334,TAM 5
5335,NK
5336,Tcells 2
5337,NK
5338,Mono 1
5339,TAM 3
5340,TAM 5
5341,TAM 3
5342,TAM 3
5343,NK
5344,Tcells 2
5345,Mast
5346,cDC2
5347,TAM 4
5348,TAM 3
5349,Mono 1
5350,TAM 4
5351,Mono 2
5352,Mono 2
5353,cDC2
5354,Mono 2
5355,TAM 3
5356,TAM 4
5357,TAM 2
5358,Tcells 1
5359,Tcells 1
5360,TAM 5
5361,NK
5362,cDC2
5363,Mono 1
5364,cDC2
5365,pDC
5366,TAM 3
5367,TAM 4
5368,Proliferating T cells
5369,TAM 4
5370,TAM 2
5371,TAM 2
5372,TAM 5
5373,TAM 3
5374,TAM 2
5375,TAM 2
5376,Mono 1
5377,cDC2
5378,TAM 4
5379,Mono 1
5380,Mono 2
5381,TAM 2
5382,TAM 2
5383,TAM 1
5384,TAM 4
5385,TAM 3
5386,TAM 2
5387,TAM 4
5388,cDC1
5389,Mono 2
5390,TAM 5
5391,Tcells 2
5392,NK
5393,TAM 1
5394,Mono 1
5395,TAM 2
5396,TAM 3
5397,Tcells 1
5398,Mono 2
5399,Mono 1
5400,TAM 3
5401,TAM 4
5402,cDC2
5403,Mono 1
5404,cDC2
5405,Mono 1
5406,TAM 3
5407,Tcells 2
5408,Tcells 1
5409,Mono 2
5410,Treg
5411,TAM 5
5412,TAM 4
5413,NK
5414,TAM 2
5415,TAM 5
5416,TAM 4
5417,TAM 3
5418,Mono 1
5419,TAM 4
5420,TAM 5
5421,Mono 2
5422,TAM 5
5423,cDC2
5424,Tcells 3
5425,cDC2
5426,Mono 1
5427,Mono 1
5428,TAM 4
5429,Mono 1
5430,Mono 2
5431,TAM 3
